seconds,intepolated_flow
20,3.101994002766782
40,4.083979430103903
60,5.253945540803262
80,7.135033861635681
100,7.403303454070647
120,6.34586841624115
140,5.792587365006668
160,6.758164128669609
180,8.104485230842467
200,7.390789195343899
220,6.264955118056916
240,5.550581961853549
260,5.069706768560326
280,4.4737107033987344
300,3.58502581620667
320,2.5216073038777136
340,1.7028001547990392
360,1.1570642622549072
380,0.7176708550631763
