seconds,interpolated_flow
20,2.5962602569748756
40,4.096244379581325
60,5.175000294151703
80,6.3320451446031445
100,6.00774814549338
120,6.514422069481835
140,5.644218763043635
160,6.2306509782763095
180,6.952963752487115
200,7.432356216485415
220,7.880185548521574
240,5.417552462021793
260,5.439786695158952
280,5.996451803130405
300,6.166636266542303
320,6.527559027156247
340,4.861652884533241
360,3.256095140467362
380,2.302658433256608
